 +6.50282E+01,+2.43824E+01
 +6.41615E+01,+2.43498E+01
 +6.33656E+01,+2.42854E+01
 +6.25806E+01,+2.42830E+01
 +6.19554E+01,+2.40869E+01
 +6.13646E+01,+2.41220E+01
 +6.08696E+01,+2.41775E+01
 +6.03741E+01,+2.42315E+01
 +5.96026E+01,+2.43113E+01
 +5.87157E+01,+2.43633E+01
 +5.78316E+01,+2.44427E+01
 +5.73454E+01,+2.47884E+01
 +5.71214E+01,+2.55518E+01
 +5.70570E+01,+2.60485E+01
 +5.69921E+01,+2.65452E+01
 +5.68753E+01,+2.73007E+01
 +5.64233E+01,+2.73685E+01
 +5.56618E+01,+2.69471E+01
 +5.47283E+01,+2.66679E+01
 +5.38601E+01,+2.67173E+01
 +5.32406E+01,+2.71213E+01
 +5.25038E+01,+2.75611E+01
 +5.19120E+01,+2.79573E+01
 +5.12830E+01,+2.84873E+01
 +5.09981E+01,+2.90719E+01
 +5.10573E+01,+2.95780E+01
 +5.04526E+01,+3.01031E+01
 +4.99740E+01,+3.04532E+01
 +4.94919E+01,+3.08016E+01
 +4.92649E+01,+3.12117E+01
 +4.90360E+01,+3.16214E+01
 +4.84892E+01,+3.22374E+01
 +4.81702E+01,+3.23082E+01
 +4.77702E+01,+3.23111E+01
 +4.74107E+01,+3.24479E+01
 +4.66076E+01,+3.28874E+01
 +4.59177E+01,+3.33905E+01
 +4.55052E+01,+3.38933E+01
 +4.50000E+01,+3.45906E+01
 +4.50000E+01,+3.45906E+01
 +4.48361E+01,+3.50245E+01
 +4.46705E+01,+3.54581E+01
 +4.45148E+01,+3.60150E+01
 +4.43568E+01,+3.65716E+01
 +4.40195E+01,+3.70984E+01
 +4.36475E+01,+3.74066E+01
 +4.31758E+01,+3.76850E+01
 +4.27973E+01,+3.79905E+01
 +4.22891E+01,+3.82127E+01
 +4.18391E+01,+3.83551E+01
 +4.12363E+01,+3.86156E+01
 +4.10262E+01,+3.88487E+01
 +4.10015E+01,+3.90799E+01
 +4.10015E+01,+3.90799E+01
 +4.06242E+01,+3.88568E+01
 +4.01627E+01,+3.87681E+01
 +3.94017E+01,+3.84970E+01
 +3.88565E+01,+3.83141E+01
 +3.83652E+01,+3.81214E+01
 +3.80417E+01,+3.79941E+01
 +3.76822E+01,+3.78337E+01
 +3.70832E+01,+3.75118E+01
 +3.67895E+01,+3.73979E+01
 +3.64665E+01,+3.67303E+01
 +3.63892E+01,+3.62596E+01
 +3.64134E+01,+3.60232E+01
 +3.64134E+01,+3.60232E+01
